file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0021,-207.0988464,-32.78245163,48.2861212,305.0412493,256.7551281,0.873686969,3.214377496,-139.5808105,3,control,-70,0.597835756,0.243864089
2020_02_13_0021,-209.0557251,-33.82021713,47.83413607,295.6811294,247.8469934,0.797535121,3.178126228,-137.9901428,3,control,-70,0.553537573,0.238597294
2020_02_13_0021,-213.994873,-31.79417992,46.73009151,314.5229733,267.7928818,0.846969187,2.930809797,-142.5724792,3,control,-70,0.652724064,0.202665724
2020_02_13_0021,-212.5544434,-34.88471222,47.04676996,286.6585207,239.6117507,0.946969688,3.610633247,-140.7170105,3,control,-70,0.512585533,0.301434431
2020_02_13_0021,-209.7336884,-37.40632248,47.67951243,267.3344862,219.6549738,0.828040779,3.802848972,-139.6315155,3,control,-70,0.413344895,0.329360651
2020_02_13_0021,-207.784317,-30.0427742,48.12682759,332.8587411,284.7319135,1.013777971,3.388889706,-144.388504,3,control,-70,0.736958122,0.269218239
2020_02_13_0021,-205.3635712,-34.64466095,48.6941279,288.6447645,239.9506366,0.812792659,3.38544169,-133.1373749,3,control,-70,0.514270737,0.268717291
2020_02_13_0021,-204.6574402,-33.71593094,48.86213758,296.5956959,247.7335583,0.857002318,3.440449874,-134.9421387,3,control,-70,0.552973485,0.2767092
2020_02_13_0021,-201.1793671,-30.73332787,49.70688667,325.3796674,275.6727808,0.961689711,3.193910792,-140.7395477,3,control,-70,0.691909059,0.240890568
2020_02_13_0021,-199.1699066,-34.44680786,50.20838825,290.3026614,240.0942732,0.911012292,3.637514948,-134.4482269,3,control,-70,0.51498501,0.305339961
2020_02_13_0021,-198.2215118,-35.70285797,50.44861129,280.0896222,229.6410109,0.853244364,3.578752083,-136.9835358,3,control,-70,0.463003249,0.29680255
2020_02_13_0021,-197.9078827,-37.77319336,50.52855836,264.7380089,214.2094505,0.716590881,3.356025023,-135.4661102,3,control,-70,0.386265512,0.264443467
2020_02_13_0021,-194.7378082,-36.72140121,51.35109659,272.3207631,220.9696665,0.952326,4.123166494,-136.6830597,3,control,-70,0.419882571,0.375898245
2020_02_13_0021,-196.542572,-35.09383392,50.87956211,284.9503426,234.0707805,0.868163228,3.614598275,-135.7327881,3,control,-70,0.485031513,0.302010494
2020_02_13_0021,-195.8176727,-35.97019958,51.06791364,278.0079098,226.9399961,0.935094595,3.937250093,-134.8707733,3,control,-70,0.4495717,0.348887228
2020_02_13_0021,-193.0194397,-35.99394989,51.80825318,277.8244686,226.0162154,0.93473047,4.066581138,-134.9834595,3,control,-70,0.444977943,0.367677195
2020_02_13_0021,-188.8540192,-33.42980957,52.95095145,299.1342197,246.1832682,0.969944894,3.883442854,-131.4584503,3,control,-70,0.545264236,0.341069799
2020_02_13_0021,-191.0475311,-34.68266296,52.34299517,288.3284946,235.9854994,0.957280457,3.951627913,-135.002243,3,control,-70,0.494552987,0.350976121
2020_02_13_0021,-186.3468933,-36.53072739,53.66335774,273.7421539,220.0787962,0.962717533,4.213877519,-129.8151855,3,control,-70,0.41545247,0.38907727
2020_02_13_0021,-187.24646,-28.28219986,53.40554904,353.5792848,300.1737358,1.049575925,3.181734655,-138.9253845,3,control,-70,0.813746889,0.239121548
2020_02_13_0021,-187.3741608,-33.40760422,53.36915164,299.3330481,245.9638965,0.902043521,3.754472623,-129.7644806,3,control,-70,0.544173349,0.322332253
2020_02_13_0021,-185.1487122,-33.53740311,54.01063763,298.1745476,244.16391,0.986344337,4.006273418,-126.9850388,3,control,-70,0.535222414,0.358915338
2020_02_13_0022,-182.9284515,-25.49105644,54.66618186,392.2944513,337.6282694,0.968043387,3.187295583,-137.8722992,3,control,-70,1,0.239929472
2020_02_13_0022,-183.4503021,-33.93637848,54.5106761,294.669038,240.1583619,0.882333398,3.87572564,-132.5897064,3,control,-70,0.515303709,0.339948597
