file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0015,-222.6039276,-11.23046875,44.9228372,890.4347826,845.5119454,0.643856764,0.761499311,-19.09528351,2,monochromator,-70,0.449550347,0.592570451
2020_02_13_0015,-222.753891,-8.950659752,44.89259404,1117.236078,1072.343484,0.611714423,0.570446346,-21.26464653,2,monochromator,-70,0.657360813,0.390300027
2020_02_13_0015,-224.2187347,-11.97916603,44.59930617,834.782653,790.1833468,0.574380696,0.726895471,-19.18945122,2,monochromator,-70,0.398861356,0.555934886
2020_02_13_0015,-222.0912323,-10.64220619,45.0265411,939.6547877,894.6282466,0.626956761,0.700801437,-19.85211945,2,monochromator,-70,0.494547976,0.52830877
2020_02_13_0016,-221.7051086,-11.00667286,45.10495974,908.5397675,863.4348077,0.547838807,0.634487748,-18.89546585,2,control,-70,0.465970279,0.458101548
2020_02_13_0016,-218.2413635,-11.17960548,45.82082809,894.4859471,848.665119,0.517917395,0.610272984,-18.08675003,2,control,-70,0.45243911,0.432465041
2020_02_13_0016,-217.6615295,-9.791056633,45.94289134,1021.340227,975.3973352,0.58938992,0.604256234,-19.88728714,2,control,-70,0.568544133,0.426095025
2020_02_13_0016,-219.6705933,-11.39831543,45.52270676,877.3226238,831.7999171,0.58558166,0.70399341,-18.97684479,2,control,-70,0.436988148,0.531688156
2020_02_13_0016,-218.7601624,-10.48278809,45.71216209,953.944687,908.232525,0.555153489,0.61124599,-18.91072464,2,control,-70,0.507011461,0.433495176
2020_02_13_0016,-218.7499847,-11.5102129,45.7142889,868.7936608,823.0793719,0.547111809,0.664713305,-19.16503716,2,control,-70,0.428998869,0.490101764
2020_02_13_0016,-214.9403687,-12.31892681,46.52453172,811.7590236,765.2344919,0.553145587,0.722844557,-26.6367569,2,control,-70,0.3760046,0.551646127
2020_02_13_0016,-213.2008667,-12.59867191,46.90412452,793.7344562,746.8303317,0.528867364,0.708149283,-22.51688385,2,control,-70,0.35914373,0.536088037
2020_02_13_0016,-224.6246185,-8.382159233,44.51871779,1193.010025,1148.491308,0.639688611,0.556981674,-28.18298149,2,control,-70,0.727123223,0.376044792
2020_02_13_0016,-216.1152954,-9.38415432,46.27159767,1065.626125,1019.354527,0.547505915,0.537110398,-21.31143951,2,control,-70,0.608815272,0.355006797
2020_02_13_0016,-213.7400208,-12.10021877,46.78581,826.4313388,779.6455288,0.555965126,0.71309987,-19.17012405,2,control,-70,0.389207192,0.541329292
2020_02_13_0016,-213.1652679,-13.98213482,46.91195755,715.1983677,668.2864102,0.56413883,0.844157267,-21.69799614,2,control,-70,0.287186148,0.680081576
2020_02_13_0016,-211.3036957,-10.65063477,47.32524894,938.9111748,891.5859258,1.02205503,1.146333741,-35.15624619,2,control,-70,0.491760771,1
2020_02_13_0016,-213.2517395,-12.12056255,46.89293519,825.0442136,778.1512784,0.617192626,0.793152493,-23.44258499,2,control,-70,0.387838243,0.626082114
2020_02_13_0016,-213.0635376,-17.27803421,46.93435636,578.7695451,531.8351887,0.563593626,1.05971481,-21.55558014,2,control,-70,0.162177113,0.908295336
2020_02_13_0016,-210.0880737,-13.88549614,47.59908462,720.1759231,672.5768385,0.572912633,0.85181737,-19.15995026,2,control,-70,0.291116801,0.688191433
2020_02_13_0016,-210.4339447,-12.83263969,47.52085037,779.2628982,731.7420479,0.597047269,0.815925873,-25.16174126,2,control,-70,0.345320682,0.650192607
2020_02_13_0016,-210.6017914,-15.72163677,47.48297692,636.0660881,588.5831112,0.394148648,0.669656741,-23.40698051,2,control,-70,0.21416641,0.495335449
2020_02_13_0017,-208.5603333,-12.59825134,47.94775614,793.7609536,745.8131975,0.705643117,0.946139221,-20.56563377,2,control,-70,0.358211888,0.788051285
2020_02_13_0017,-208.5314178,-10.92575169,47.95440468,915.2688334,867.3144287,0.63665545,0.734053797,-19.9841938,2,monochromator,-70,0.469524573,0.563513505
2020_02_13_0017,-210.4106598,-13.97773743,47.52610923,715.4233689,667.8972597,0.599266529,0.897243581,-20.18014908,2,monochromator,-70,0.28682963,0.736284793
2020_02_13_0017,-208.3001251,-12.12442493,48.00765239,824.7813858,776.7737335,0.633412957,0.815440752,-26.19692993,2,monochromator,-70,0.386576213,0.649679003
2020_02_13_0017,-206.8127899,-9.098138809,48.35290895,1099.125899,1050.77299,0.66477412,0.632652463,-22.06902504,2,monochromator,-70,0.637599124,0.456158506
2020_02_13_0017,-206.125351,-9.452647209,48.51416846,1057.90471,1009.390541,0.66729635,0.661088372,-21.29162979,2,monochromator,-70,0.599686821,0.486263997
2020_02_13_0017,-207.2657471,-12.5025692,48.24723883,799.8356051,751.5883662,0.627857089,0.835373613,-19.2967453,2,monochromator,-70,0.363502777,0.670782199
2020_02_13_0019,-274.7441711,-33.56510544,36.39749647,297.9284548,261.5309584,0.653863013,2.167375383,-113.8055878,3,control,-70,0.621584904,0.091749528
2020_02_13_0019,-269.8641357,-32.79830551,37.05568349,304.8938,267.8381165,0.623349726,2.135065674,-114.6573105,3,control,-70,0.652949006,0.087055386
2020_02_13_0019,-278.5810852,-32.58818054,35.89619156,306.8597213,270.9635298,0.604422808,2.048809723,-118.2694778,3,control,-70,0.668490995,0.074523619
2020_02_13_0019,-267.6724243,-31.86444473,37.35909676,313.8294134,276.4703167,0.642208755,2.288611141,-113.7972641,3,control,-70,0.695875029,0.109363365
2020_02_13_0019,-263.7717285,-32.41665649,37.91156867,308.4833873,270.5718186,0.622144043,2.293649386,-114.76828,3,control,-70,0.666543102,0.110095351
2020_02_13_0019,-270.4689636,-34.92102814,36.97281886,286.3604119,249.387593,0.64056325,2.351339053,-116.8601227,3,control,-70,0.561198634,0.118476841
2020_02_13_0019,-261.2942505,-32.58227158,38.27102962,306.915372,268.6443423,0.703874469,2.461501356,-113.7057114,3,control,-70,0.656958189,0.134481862
